"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
128.025972,-15.97875,"Eragrostis leporina",2853649092,"Amalia Creek crossing on the El Questro Entrance Road.","AUS",100,2008,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_HIGHERRANK;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
125.771667,-14.771667,"Eragrostis leporina",2853683846,"E edge of Airfield Swamp, Mitchell Plateau, N Kimberley","AUS",NA,1982,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_HIGHERRANK;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
132.15,-11.166667,"Eragrostis leporina",2853699952,"Black Point","AUS",NA,1968,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_HIGHERRANK;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
123.733333,-17.45,"Eragrostis leporina",2853853974,"Derby to Broome Road, 19.6 km S (by road) of Derby, Dampier Botanical district","AUS",NA,1985,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_HIGHERRANK;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
126.916667,-14.816667,"Eragrostis leporina",2853631201,"Nymphaea Creek, Drysdale River National Park, N Kimberley","AUS",NA,1975,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_HIGHERRANK;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
125.333333,-15.8,"Eragrostis leporina",2853677629,"Blyxa Creek, Prince Regent River Reserve","AUS",NA,1974,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_HIGHERRANK;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
127,-14.666667,"Eragrostis leporina",2853677863,"Galola Creek, near Drysdale River, Drysdale River National Park","AUS",NA,1975,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_HIGHERRANK;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
126.12807,-17.12807,"Eragrostis leporina",2853739533,"Cleanskin Pocket, roadside E end. Mornington Sanctuary","AUS",100,2012,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_HIGHERRANK;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
126.916667,-14.616667,"Eragrostis leporina",2854223422,"Galaxy swamp, ca 30 km SSE of Carson River Homestead adjacent to Drysdale River, Drysdale River National Park, N Kimberley","AUS",NA,1996,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_HIGHERRANK;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
126.716667,-15.266667,"Eragrostis leporina",2854251854,"Dromaius Creek near S end of Ashton Range, Drysdale River National Park","AUS",NA,1975,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_HIGHERRANK;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
