"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
123.681667,-30.466389,"Sporobolus ramigerus",2854020208,"Queen Victoria Spring","AUS",3000,1963,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_HIGHERRANK;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
122.866667,-25.783333,"Sporobolus ramigerus",2853796099,"Carnegie District, 15 km W of Carnegie Homestead","AUS",NA,1973,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_HIGHERRANK;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
115.583333,-25.283333,"Sporobolus ramigerus",2853990747,"3 km E of Pell Creek","AUS",NA,1982,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_HIGHERRANK;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
117.067246,-31.246647,"Sporobolus ramigerus",2853867266,"Maisey Lagoon 2 [Transect 1]. On south-western side of lagoon on W side of McKinnon Road, c. 7.5 km SSE of Dowerin","AUS",100,2001,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_HIGHERRANK;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
115.116667,-29.816667,"Sporobolus ramigerus",2853762903,"2 km N of Lake Logue, W of Eneabba","AUS",NA,1981,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_HIGHERRANK;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
119.566667,-29.283333,"Sporobolus ramigerus",2853792700,"Mafia Dam, 9 km NNW of Mount Elvire Station, 235 km N of Southern Cross,","AUS",NA,2000,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_HIGHERRANK;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
119.516667,-27.853056,"Sporobolus ramigerus",2853872994,"30 km S of Lake Mason Homestead","AUS",3000,1984,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_HIGHERRANK;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
123.854948,-31.81399,"Sporobolus ramigerus",2853903385,"70.3 km N of Balladonia along Zanthus - Balladonia track","AUS",100,2002,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_HIGHERRANK;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
124.258333,-25.39,"Sporobolus ramigerus",2854301207,"Mungilli Claypan, Warburton Road","AUS",3000,1963,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_HIGHERRANK;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
119.163959,-30.135231,"Sporobolus ramigerus",2854318587,"Between Windarling Mine and old Mt Jackson Homestead, c. 82.7 km (SLK) NNW (335.5 degrees) from Koolyanobbing","AUS",100,2013,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_HIGHERRANK;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
120.779444,-32.656111,"Sporobolus ramigerus",2853779214,"4.3 km N of Lake King - Norseman Road, along track to Bremer Range,","AUS",NA,1997,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_HIGHERRANK;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
126.558176,-19.575501,"Sporobolus ramigerus",3777330248,"Madigan Station (Yougawalla Station), Lake McLernon","AUS",3000,1996,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_HIGHERRANK;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
120.868333,-30.415556,"Sporobolus ramigerus",2853746235,"1.2 kilometres north east of Rowles Lagoon","AUS",100,2006,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_HIGHERRANK;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
123.139783,-32.1592,"Sporobolus ramigerus",2854021558,"Claypan to the N of Harmes Lake and S of claypan","AUS",3000,2004,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_HIGHERRANK;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
113.764718,-24.792897,"Sporobolus ramigerus",2854025549,"13 km NE of Carnarvon on North West Coastal Highway","AUS",100,1995,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_HIGHERRANK;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
124.465333,-24.732694,"Sporobolus ramigerus",2853772131,"13.2 km N of Hussar Bore, off Eagle Highway","AUS",100,2018,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_HIGHERRANK;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
123.485,-31.321944,"Sporobolus ramigerus",2854338176,"13 km NNW of Buningonia Spring, approx 38 km SSW of Zanthus","AUS",3000,1980,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_HIGHERRANK;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
