"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
116.267198,-31.593577,"Bossiaea angustifolia",2854342863,"On E side of Quarry Road, 1.5 km S of railway gate, State Forest, c. 21 km NW of Wundowie. [Plot - JB14]","AUS",100,1998,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
116.402593,-32.019608,"Bossiaea angustifolia",2853634308,"Site 5, down Surveyor's Road, off Yarra Road, 4 km E of Beraking","AUS",100,1996,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
116.044828,-32.699342,"Bossiaea angustifolia",2853754115,"Site 45, ca 3 km NNE of Teesdale Hill, bearing E,","AUS",100,1997,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
116.05,-32.616667,"Bossiaea angustifolia",2853869279,"14.8 km from North Dandalup on road to Dwellingup, 0.5 km W of South Dandalup River","AUS",NA,1985,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
115.786233,-33.621022,"Bossiaea angustifolia",2853929549,"Corner of Capel-Donnybrook and Camp Gully roads, SW of Donnybrook,","AUS",100,1997,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
116,-32.916667,"Bossiaea angustifolia",2853883554,"10 km NE of Yarloop","AUS",NA,1979,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
115.965,-32.649722,"Bossiaea angustifolia",2853670655,"Oakley Dam, NW of Dwellingup","AUS",3000,1979,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
116.059268,-32.475728,"Bossiaea angustifolia",2853817950,"Site 38, 14 km W of Mount Solus, bearing WNW,","AUS",100,1997,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
115.906944,-33.04,"Bossiaea angustifolia",2853740091,"5 km N of Harvey","AUS",NA,1992,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
116.616889,-33.931599,"Bossiaea angustifolia",2854057652,"2.5 km E of junction Yates and Boyup Brook / Kojonup Road (100 m E of Reserve corner) and 30 m N of road,","AUS",NA,1997,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
