"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
-91.12174,-0.41715,"Acalypha parvula",1258724271,"Volcano Alcedo.","ECU",NA,1980,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-91,-0.201111,"Acalypha parvula",3855259763,"Isla Isabela, Parte Norte. Volcán Darwin. Bajando al interior del cráter, en el primer nivel.","ECU",NA,2000,"PRESERVED_SPECIMEN","CONTINENT_COORDINATE_MISMATCH;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
-90.725,-0.2583,"Acalypha parvula",3855259837,"El Jaboncillo dentro de cuadrante Scalesia.","ECU",NA,1986,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
-90.385555,-1.2375,"Acalypha parvula",3855259889,"Champion.","ECU",NA,1983,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
-90.0583,-0.8167,"Acalypha parvula",3855260256,"","ECU",NA,2016,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
-89.541694,-0.84575,"Acalypha parvula",3855260258,"Playa noreste de los Lobos.","ECU",NA,2000,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
-89.355361,-0.823194,"Acalypha parvula",3855260739,"A 300 m de la Bahía Rosa Blanca.","ECU",NA,2000,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
-90.7083,-0.4097,"Acalypha parvula",3855261366,"","ECU",NA,1983,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
-91.2914,-0.1888,"Acalypha parvula",3855261378,"From Cerro Beagle.","ECU",NA,1984,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
-90.5467,-0.2808,"Acalypha parvula",3855261473,"","ECU",NA,1983,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
-90.372055,-0.423388,"Acalypha parvula",3855261477,"","ECU",NA,1983,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
-91.5222,-0.3667,"Acalypha parvula",3855261481,"","ECU",NA,1984,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
-91.3412,0.0192,"Acalypha parvula",3855262349,"Puerto Bravo, ladera OE del volcán","ECU",NA,1986,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
-90.510272,-0.535928,"Acalypha parvula",3855263157,"","ECU",NA,1999,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
-90.326472,-0.643111,"Acalypha parvula",3855263385,"Cerro Crocker alrededor de las antenas. Cuadrante BA1.","ECU",NA,2001,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
-90.388472,-0.626722,"Acalypha parvula",3855264030,"Los Gemelos.","ECU",NA,1986,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
-90.245277,-0.683611,"Acalypha parvula",3855264582,"El Fatal, km 27 Puerto Ayora - Itabaca.","ECU",NA,1997,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
-89.675,-1.375,"Acalypha parvula",3855265530,"Landing site on north coast, beach area and area to El Chaco.","ECU",NA,1986,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
-89.500416,-0.826722,"Acalypha parvula",3855267749,"Sur de Cerro Brujo, cerca de la playa","ECU",NA,2000,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
-90.34455,-0.700655,"Acalypha parvula",3855268195,"In Transition Zone along Old Trail from Academy Bay toward Bellavista.","ECU",NA,1964,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
-91,-0.438056,"Acalypha parvula",3855269426,"Isla Isabela, Volcán Alcedo. Este del flanco inferior del volcán. Parcela de vegetación No. 12","ECU",NA,2002,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
-91.098027,-0.787416,"Acalypha parvula",3855270293,"Camino a Volcán Chico.","ECU",NA,2003,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
-91.174805,-0.841972,"Acalypha parvula",3855270652,"Cerca a zona Velasco.","ECU",NA,2006,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
-90.291666,-0.396944,"Acalypha parvula",3855274746,"Near the W. coast, S-W part of the island","ECU",NA,1972,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
-91.361805,-0.039722,"Acalypha parvula",3855275818,"Norte","ECU",NA,2013,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
-91.018777,-0.874444,"Acalypha parvula",3855275926,"Finca de Arturo Lincango Vaca (FI 012).","ECU",NA,2005,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
-91.344749,-0.226611,"Acalypha parvula",3855276234,"Suroeste de la cumbre del volcán","ECU",NA,2000,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
-91.413472,-0.985166,"Acalypha parvula",3855276962,"Cerro Verde.","ECU",NA,2009,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
-91.186388,-0.832694,"Acalypha parvula",3855277199,"Límite con línea de fuego hasta donde fue el incendio. Población Velasco de Scalesia cordata.","ECU",NA,2006,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
-90.5819,-0.3674,"Acalypha parvula",3855279986,"Oeste del islote.","ECU",NA,1994,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
